Namespace(batch_size=32, epochs=200, eval=0, exp_name='32121++', lr=0.001, model_path='checkpoints/32121+/best_model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Test 168, loss: 1.427365, test acc: 0.933549, test avg acc: 0.908285
Train 169, loss: 1.323210, train acc: 0.997557, train avg acc: 0.996623
Test 169, loss: 1.428257, test acc: 0.932334, test avg acc: 0.906576
Train 170, loss: 1.323247, train acc: 0.997353, train avg acc: 0.995694
Test 170, loss: 1.430572, test acc: 0.931929, test avg acc: 0.906076
Train 171, loss: 1.321420, train acc: 0.997659, train avg acc: 0.996435
Test 171, loss: 1.426838, test acc: 0.932334, test avg acc: 0.908494
Train 172, loss: 1.320502, train acc: 0.997862, train avg acc: 0.996631
Test 172, loss: 1.431933, test acc: 0.927472, test avg acc: 0.905372
Train 173, loss: 1.320176, train acc: 0.997557, train avg acc: 0.996118
Test 173, loss: 1.429474, test acc: 0.928687, test avg acc: 0.905913
Train 174, loss: 1.319354, train acc: 0.997659, train avg acc: 0.996665
Test 174, loss: 1.429464, test acc: 0.930713, test avg acc: 0.904535
Train 175, loss: 1.318258, train acc: 0.998473, train avg acc: 0.997839
Test 175, loss: 1.429519, test acc: 0.930308, test avg acc: 0.902994
Train 176, loss: 1.319044, train acc: 0.998066, train avg acc: 0.997463
Test 176, loss: 1.429451, test acc: 0.926256, test avg acc: 0.901703
Train 177, loss: 1.318094, train acc: 0.998473, train avg acc: 0.998038
Test 177, loss: 1.429619, test acc: 0.933144, test avg acc: 0.909076
Train 178, loss: 1.320466, train acc: 0.997353, train avg acc: 0.995579
Test 178, loss: 1.426524, test acc: 0.932334, test avg acc: 0.904285
Train 179, loss: 1.318263, train acc: 0.998371, train avg acc: 0.998001
Test 179, loss: 1.430980, test acc: 0.929903, test avg acc: 0.904703
Train 180, loss: 1.319741, train acc: 0.997761, train avg acc: 0.996631
Test 180, loss: 1.428616, test acc: 0.929903, test avg acc: 0.906826
